ENA|VUNM01000021|VUNM01000021.1,0,43741,UniRef50_UPI000F7AA79D,33683,36212	ENA|VUNM01000021|VUNM01000021.1,0,43741,UniRef50_UPI000F7AA79D,33683,36212
ENA-OLQX01000568-OLQX01000568.1-human-gut-metagenome-genome-assembly--contig:-NODE-568-length-42592-cov-7.654324,5617,42592,UniRef50_R6QHH1,23094,27114	ENA-OLQX01000568-OLQX01000568.1-human-gut-metagenome-genome-assembly--contig:-NODE-568-length-42592-cov-7.654324,5617,42592,UniRef50_R6QHH1,23094,27114
ENA-OLQX01000568-OLQX01000568.1-human-gut-metagenome-genome-assembly--contig:-NODE-568-length-42592-cov-7.654324,5617,42592,UniRef50_R6QHH1,23094,27114	ERZ975911.10,0,58131,UniRef50_R6QHH1,27647,31667
ENA-OLQX01000568-OLQX01000568.1-human-gut-metagenome-genome-assembly--contig:-NODE-568-length-42592-cov-7.654324,5617,42592,UniRef50_R6QHH1,23094,27114	ERZ914644.45907,0,57687,UniRef50_R6QHH1,13663,17683
ENA-OLQX01000568-OLQX01000568.1-human-gut-metagenome-genome-assembly--contig:-NODE-568-length-42592-cov-7.654324,5617,42592,UniRef50_R6QHH1,23094,27114	ERZ909708.4411,0,61293,UniRef50_R6QHH1,39795,43815
ENA-OLQX01000568-OLQX01000568.1-human-gut-metagenome-genome-assembly--contig:-NODE-568-length-42592-cov-7.654324,5617,42592,UniRef50_R6QHH1,23094,27114	ERZ917997.27781,0,44814,UniRef50_R6QHH1,23316,27336
ENA-OLQX01000568-OLQX01000568.1-human-gut-metagenome-genome-assembly--contig:-NODE-568-length-42592-cov-7.654324,5617,42592,UniRef50_R6QHH1,23094,27114	ERZ1108174.397,6924,64261,UniRef50_R6QHH1,46927,50947
ENA-OLQX01000568-OLQX01000568.1-human-gut-metagenome-genome-assembly--contig:-NODE-568-length-42592-cov-7.654324,5617,42592,UniRef50_R6QHH1,23094,27114	ENA-OQGW01000072-OQGW01000072.1-human-gut-metagenome-genome-assembly--contig:-NODE-72-length-99037-cov-7.547251,5411,99037,UniRef50_R6QHH1,22888,26908
ENA-OLQX01000568-OLQX01000568.1-human-gut-metagenome-genome-assembly--contig:-NODE-568-length-42592-cov-7.654324,5617,42592,UniRef50_R6QHH1,23094,27114	ENA|OQGI01000125|OQGI01000125.1,5411,78083,UniRef50_R6QHH1,22888,26908
ENA-OLQX01000568-OLQX01000568.1-human-gut-metagenome-genome-assembly--contig:-NODE-568-length-42592-cov-7.654324,5617,42592,UniRef50_R6QHH1,23094,27114	ENA|OQAC01000070|OQAC01000070.1,0,76700,UniRef50_R6QHH1,7042,11062
ERZ831773.545,0,47265,UniRef50_A0A3G9HDX7,39420,43230	ERZ831773.545,0,47265,UniRef50_A0A3G9HDX7,39420,43230
Ga0114893_100012,30168,78365,UniRef50_A0A134C7A8,64249,68380	Ga0114893_100012,30168,78365,UniRef50_A0A134C7A8,64249,68380
Ga0114893_100012,30168,78365,UniRef50_A0A134C7A8,64249,68380	NODE-177-length-21549-cov-19.6115,0,21549,UniRef50_A0A134C7A8,4767,8898
ENA|WWJL01000005|WWJL01000005.1,32519,83319,UniRef50_A0A2G1YXF8,69498,72468	ENA|WWJL01000005|WWJL01000005.1,32519,83319,UniRef50_A0A2G1YXF8,69498,72468
ENA|FWWM01002255|FWWM01002255.1,0,40246,UniRef50_A0A1X9T077,18723,21465	ENA|FWWM01002255|FWWM01002255.1,0,40246,UniRef50_A0A1X9T077,18723,21465
ENA|FWWM01002255|FWWM01002255.1,0,40246,UniRef50_A0A1X9T077,18723,21465	ENA|FWPU01001565|FWPU01001565.1,29482,67988,UniRef50_A0A1X9T077,48262,51004
AHAL01006791.1	AHAL01006791.1
AHAL01006791.1	NW_005199553.1,2470,53123,UniRef50_A0A1S9CRA5,44572,46921
AHAL01006791.1	NW_005200417.1,81740,132393,UniRef50_A0A1S9CRA5,127296,129648
ENA-OGWZ01000331-OGWZ01000331.1-human-gut-metagenome-genome-assembly--contig:-NODE-331-length-55007-cov-3.423133,0,55007,UniRef50_A0A1M7S3P9,11632,15841	ENA-OGWZ01000331-OGWZ01000331.1-human-gut-metagenome-genome-assembly--contig:-NODE-331-length-55007-cov-3.423133,0,55007,UniRef50_A0A1M7S3P9,11632,15841
ENA|OLPF01000293|OLPF01000293.1,24965,57627,UniRef50_R5MT23,53229,57294	ENA|OLPF01000293|OLPF01000293.1,24965,57627,UniRef50_R5MT23,53229,57294
NZ_JAGF01000001.1,3224454,3377975,UniRef50_A0A2H6JP42,3242327,3246731	NZ_JAGF01000001.1,3224454,3377975,UniRef50_A0A2H6JP42,3242327,3246731
NZ_NUMM01000028.1,0,68044,UniRef50_UPI000BFE368F,54153,57378	NZ_NUMM01000028.1,0,68044,UniRef50_UPI000BFE368F,54153,57378
ENA|WEEQ01000030|WEEQ01000030.1,0,23985,UniRef50_U2SSY7,14793,18087	ENA|WEEQ01000030|WEEQ01000030.1,0,23985,UniRef50_U2SSY7,14793,18087
NZ_JXHP01000006.1,35535,87550,UniRef50_A0A1Z5H3Q2,40499,42506	NZ_JXHP01000006.1,35535,87550,UniRef50_A0A1Z5H3Q2,40499,42506
NZ_JXHP01000006.1,35535,87550,UniRef50_A0A1Z5H3Q2,40499,42506	NZ_JXHK01000017.1,35531,87546,UniRef50_A0A1Z5H3Q2,40495,42502
ERZ918837.35190,621,155363,UniRef50_A5Z395,18935,21791	ERZ918837.35190,621,155363,UniRef50_A5Z395,18935,21791
ERZ918837.35190,621,155363,UniRef50_A5Z395,18935,21791	ERZ918860.70792,0,27040,UniRef50_A5Z395,20941,23797
ERZ922151.42569,0,91732,UniRef50_A0A4P7WDQ6,38598,41028	ERZ922151.42569,0,91732,UniRef50_A0A4P7WDQ6,38598,41028
ENA|WLYU01000095|WLYU01000095.1,0,174927,UniRef50_D5ESN1,73667,76397	ENA|WLYU01000095|WLYU01000095.1,0,174927,UniRef50_D5ESN1,73667,76397
ENA|WLYU01000477|WLYU01000477.1,504450,725598,UniRef50_D5ESN1,605862,607998	ENA|WLYU01000477|WLYU01000477.1,504450,725598,UniRef50_D5ESN1,605862,607998
Ga0326538_05,106315,308626,UniRef50_A0A2P8ALN9,174029,176168	Ga0326538_05,106315,308626,UniRef50_A0A2P8ALN9,174029,176168
