ERZ917590.48654,0,30062,UniRef50_A0A1H4CHH6,26718,27699	ERZ917590.48654,0,30062,UniRef50_A0A1H4CHH6,26718,27699
ERZ1300892.24585,0,62675,UniRef50_W7X295,46543,48349	ERZ1300892.24585,0,62675,UniRef50_W7X295,46543,48349
ENA|SCIN01000002|SCIN01000002.1,1077317,1160949,UniRef50_A0A1W1CTM1,1135268,1135949	ENA|SCIN01000002|SCIN01000002.1,1077317,1160949,UniRef50_A0A1W1CTM1,1135268,1135949
NZ_LN913000.1,304701,452354,UniRef50_A0A523YTI3,334487,336638	NZ_LN913000.1,304701,452354,UniRef50_A0A523YTI3,334487,336638
ERZ989806.33129,0,4661,UniRef50_A0A2M7FNR0,1859,3521	ERZ989806.33129,0,4661,UniRef50_A0A2M7FNR0,1859,3521
NC_015185.1,0,45751,UniRef50_A0A523YTI3,31673,32315	NC_015185.1,0,45751,UniRef50_A0A523YTI3,31673,32315
ENA|WHTV01000007|WHTV01000007.1,0,76399,UniRef50_A0A3D1KJ32,15486,16017	ENA|WHTV01000007|WHTV01000007.1,0,76399,UniRef50_A0A3D1KJ32,15486,16017
ENA|WHJD01000013|WHJD01000013.1,87953,152628,UniRef50_UPI00128B1902,120430,121498	ENA|WHJD01000013|WHJD01000013.1,87953,152628,UniRef50_UPI00128B1902,120430,121498
ERZ925058.54925,0,76070,UniRef50_A0A1M6H808,56517,57588	ERZ925058.54925,0,76070,UniRef50_A0A1M6H808,56517,57588
ENA|LZOB01000021|LZOB01000021.1,213431,295306,UniRef50_B8CY92,215980,218035	ENA|LZOB01000021|LZOB01000021.1,213431,295306,UniRef50_B8CY92,215980,218035
ERZ1026868.5419,0,4959,UniRef50_A0A356L4R8,80,1313	ERZ1026868.5419,0,4959,UniRef50_A0A356L4R8,80,1313
ERZ1026868.5419,0,4959,UniRef50_A0A356L4R8,80,1313	ERZ1026836.412,0,29853,UniRef50_A0A356L4R8,7853,9086
Ga0245215_1001784,0,19487,UniRef50_A0A355V1Z2,92,1043	Ga0245215_1001784,0,19487,UniRef50_A0A355V1Z2,92,1043
Ga0245215_1001784,0,19487,UniRef50_A0A355V1Z2,92,1043	ERZ910663.77323,0,26062,UniRef50_A0A355V1Z2,24431,25610
NZ_FNJB01000002.1,279620,362622,UniRef50_B4SEW1,298841,299975	NZ_FNJB01000002.1,279620,362622,UniRef50_B4SEW1,298841,299975
NZ_FNJB01000002.1,279620,362622,UniRef50_B4SEW1,298841,299975	NZ_SNXU01000001.1,158509,241673,UniRef50_B4SEW1,221317,222451
ERZ937824.19866,0,26640,UniRef50_D2QHQ9,25250,26228	ERZ937824.19866,0,26640,UniRef50_D2QHQ9,25250,26228
ERZ937824.19866,0,26640,UniRef50_D2QHQ9,25250,26228	ERZ829722.137,0,8132,UniRef50_D2QHQ9,2062,3040
ERZ925890.3251,0,16970,UniRef50_A0A1H4CHH6,14379,15351	ERZ925890.3251,0,16970,UniRef50_A0A1H4CHH6,14379,15351
ENA|UQDT01000007|UQDT01000007.1,12614,129346,UniRef50_A0A523YTI3,57038,58946	ENA|UQDT01000007|UQDT01000007.1,12614,129346,UniRef50_A0A523YTI3,57038,58946
ENA|UQDT01000007|UQDT01000007.1,12614,129346,UniRef50_A0A523YTI3,57038,58946	ERZ1027099.12,12603,112975,UniRef50_A0A523YTI3,57027,58935
ENA-OWUE01000640-OWUE01000640.1-human-gut-metagenome-genome-assembly--contig:-NODE-640-length-21466-cov-14.540190,0,21466,UniRef50_A0A355V1Z2,11196,12156	ENA-OWUE01000640-OWUE01000640.1-human-gut-metagenome-genome-assembly--contig:-NODE-640-length-21466-cov-14.540190,0,21466,UniRef50_A0A355V1Z2,11196,12156
NZ_AKXG02000008.1,0,41823,UniRef50_A0A0E2DB29,33501,34341	NZ_AKXG02000008.1,0,41823,UniRef50_A0A0E2DB29,33501,34341
NZ_UKLV01000013.1,0,99834,UniRef50_A0A662TFS2,81761,82034	NZ_UKLV01000013.1,0,99834,UniRef50_A0A662TFS2,81761,82034
NZ_UKLV01000013.1,0,99834,UniRef50_A0A662TFS2,81761,82034	NZ_CP032832.1,0,351205,UniRef50_A0A662TFS2,278521,278794
NZ_AYSN01000018.1,0,25276,UniRef50_A0A1I6TFD7,13486,14491	NZ_AYSN01000018.1,0,25276,UniRef50_A0A1I6TFD7,13486,14491
NZ_AYSN01000018.1,0,25276,UniRef50_A0A1I6TFD7,13486,14491	NC_019956.1,58320,110881,UniRef50_A0A1I6TFD7,96769,97774
ENA|UPFK01000891|UPFK01000891.1,0,13744,UniRef50_I6Y537,3208,4663	ENA|UPFK01000891|UPFK01000891.1,0,13744,UniRef50_I6Y537,3208,4663
NZ_BIFV01000002.1,190932,237095,UniRef50_Q02MM1,235367,236393	NZ_BIFV01000002.1,190932,237095,UniRef50_Q02MM1,235367,236393
ENA-OQIE01000595-OQIE01000595.1-human-gut-metagenome-genome-assembly--contig:-NODE-595-length-22666-cov-4.496968,0,22666,UniRef50_A0A356L4R8,1430,2651	ENA-OQIE01000595-OQIE01000595.1-human-gut-metagenome-genome-assembly--contig:-NODE-595-length-22666-cov-4.496968,0,22666,UniRef50_A0A356L4R8,1430,2651
ENA-OQIE01000595-OQIE01000595.1-human-gut-metagenome-genome-assembly--contig:-NODE-595-length-22666-cov-4.496968,0,22666,UniRef50_A0A356L4R8,1430,2651	ERZ914010.45342,0,17556,UniRef50_A0A356L4R8,3144,4425
NZ_AUGQ01000002.1,0,118201,UniRef50_A0A523YTI3,79596,81708	NZ_AUGQ01000002.1,0,118201,UniRef50_A0A523YTI3,79596,81708
ERZ927261.1001,0,8363,UniRef50_A0A355V1Z2,2013,3072	ERZ927261.1001,0,8363,UniRef50_A0A355V1Z2,2013,3072
ERZ927261.1001,0,8363,UniRef50_A0A355V1Z2,2013,3072	Ga0244918_100320,14216,53351,UniRef50_A0A355V1Z2,14853,15930
NZ_AZFH01000155.1,0,44578,UniRef50_A0A226SWQ7,29461,30502	NZ_AZFH01000155.1,0,44578,UniRef50_A0A226SWQ7,29461,30502
NZ_AZFH01000155.1,0,44578,UniRef50_A0A226SWQ7,29461,30502	NZ_AWWH01000158.1,0,45735,UniRef50_A0A226SWQ7,7971,9012
NZ_AZFH01000155.1,0,44578,UniRef50_A0A226SWQ7,29461,30502	NZ_BAMI01000012.1,0,44008,UniRef50_A0A226SWQ7,13608,14649
ENA|ASMX01000004|ASMX01000004.1,37146,87357,UniRef50_A0A497A571,73548,75234	ENA|ASMX01000004|ASMX01000004.1,37146,87357,UniRef50_A0A497A571,73548,75234
ERZ925066.46420,0,30073,UniRef50_A0A2N1QP59,42,948	ERZ925066.46420,0,30073,UniRef50_A0A2N1QP59,42,948
ENA|SWWD01000004|SWWD01000004.1,46220,96732,UniRef50_A0A3B8NA03,84084,84372	ENA|SWWD01000004|SWWD01000004.1,46220,96732,UniRef50_A0A3B8NA03,84084,84372
NZ_LS398110.1,4189913,4313724,UniRef50_A0A524AMH2,4262656,4263319	NZ_LS398110.1,4189913,4313724,UniRef50_A0A524AMH2,4262656,4263319
Ga0224595_1021,0,14039,UniRef50_A0A1H4CHH6,9179,10073	Ga0224595_1021,0,14039,UniRef50_A0A1H4CHH6,9179,10073
ENA|UOUH01008677|UOUH01008677.1,0,6395,UniRef50_A0A2J6WEZ6,2579,3602	ENA|UOUH01008677|UOUH01008677.1,0,6395,UniRef50_A0A2J6WEZ6,2579,3602
NZ_CP023976.1,110277,160768,UniRef50_A0A3L8INS1,153049,154237	NZ_CP023976.1,110277,160768,UniRef50_A0A3L8INS1,153049,154237
NZ_CP023976.1,110277,160768,UniRef50_A0A3L8INS1,153049,154237	NZ_CP023976.1,112927,163361,UniRef50_A0A3L8INS1,153049,154237
ERZ988502.15115,0,33583,UniRef50_A0A373B4T6,18140,19043	ERZ988502.15115,0,33583,UniRef50_A0A373B4T6,18140,19043
ERZ988502.15115,0,33583,UniRef50_A0A373B4T6,18140,19043	ENA-OVFD01001008-OVFD01001008.1-human-oral-metagenome-genome-assembly--contig:-NODE-1008-length-9442-cov-3.580590,0,9442,UniRef50_A0A373B4T6,5906,6809
Ga0272448_1000587,0,52458,UniRef50_A0A662UTL8,49410,50469	Ga0272448_1000587,0,52458,UniRef50_A0A662UTL8,49410,50469
Ga0006574J49614_1007291,0,7640,UniRef50_A0A1I6TFD7,892,2050	Ga0006574J49614_1007291,0,7640,UniRef50_A0A1I6TFD7,892,2050
NZ_FQZD01000029.1,0,43138,UniRef50_A0A369HYL6,39603,40587	NZ_FQZD01000029.1,0,43138,UniRef50_A0A369HYL6,39603,40587
